course,campus,class_number,component,auto_enrolls,days,times,location,waitlist,instructor,enrolled,limit
VISSCI 5500,,6558.0,L,,,,,,,0,80
VISSCI 5500,,6557.0,L,,,,,,,0,80
VISSCI 6110,,6424.0,L,( 6425),M,900A-1050,HM0080,,M.Earley,67,70
VISSCI 6110,,6425.0,B,,,,,,M.Earley,67,70
VISSCI 6140,,6426.0,L,,M,200P,HM0080,,V.Delgado-Nixon,67,70
VISSCI 6170,,6427.0,L,,,,ONLINE,,V.Delgado-Nixon,67,70
VISSCI 6300,,6466.0,L,( 6467),T,000A-1150,HM0074,,"A.Hartwick, A.Brown",69,70
VISSCI 6300,,6467.0,B,,,,,,"A.Hartwick, A.Brown",69,70
VISSCI 6520,,6421.0,L,( 6422),T,900A-1025,HM0080,,D.Mutti,67,70
VISSCI 6520,,6422.0,B,,,,,,D.Mutti,67,70
VISSCI 6540,,6419.0,L,( 6420),M,100A,HM0080,,D.Yu,67,70
VISSCI 6540,,6420.0,B,,,,,,D.Yu,67,70
VISSCI 6720,,6423.0,L,,T,030A,HM0080,,T.Plageman,67,70
VISSCI 7940,,6456.0,S,,,,,,H.Anderson,2,25
VISSCI 7950,,6457.0,S,,,,,,"H.Anderson, H.Chandler",35,40
VISSCI 7970,,6458.0,S,,,,,,,0,50
VISSCI 7980,,6555.0,S,,T,300P-0500,,,D.Mutti,17,25
VISSCI 8004,,6500.0,S,,T R,100P-0300,,,"{7W2} S.Choi, N.Doble",13,35
VISSCI 8106,,36796.0,L,,R,300P-0500,,,J.Walline,6,25
PUBHHMP 3610,,3744.0,L,,T R,245P-0205,CZ0150,,L.Prater,49,70
PUBHHMP 3610,,4032.0,L,,,,ONLINE,,L.Prater,123,125
PUBHHMP 3610,,4310.0,L,,W F,110A-1230,CZ0330,,E.Raver,29,30
PUBHHMP 6610,,3736.0,L,,,,ONLINE,,A.Dobalian,9,10
PUBHHMP 6625,,4322.0,L,,,,ONLINE,,M.Donneyong,13,15
PUBHHMP 7193,,3760.0,I,,,200A-1200,ONLINE,,T.Padamsee,1,10
PUBHHMP 7193,,3761.0,I,,,200A-1200,,,K.Scheiderer,2,10
PUBHHMP 7193,,3762.0,I,,,200A-1200,,,E.Seiber,0,10
PUBHHMP 7193,,3763.0,I,,,200A-1200,,,J.Robbins,3,10
PUBHHMP 7193,,3764.0,I,,,200A-1200,,,A.Dobalian,0,10
PUBHHMP 7601,,4275.0,L,,T R,110A-1230,CZ0160,,E.Seiber,22,35
PUBHHMP 7610,,4298.0,L,,T R,030A-1155,DI0245,,M.Berman,5,20
PUBHHMP 7611,,3737.0,L,,M,100P-0400,HC0246,,E.Parasidis,32,35
PUBHHMP 7617,,4067.0,L,,W,515P-0800,CZ0140,,J.Robbins,32,35
PUBHHMP 7621,,4068.0,L,,T R,800A-0920,CZ0140,,H.Kummer,22,35
PUBHHMP 7631,,3738.0,L,,W F,220P-0340,UH0047,,A.Fields,33,35
PUBHHMP 7632,,34835.0,L,,,,ONLINE,,P.Hogan,38,40
PUBHHMP 7672,,3739.0,L,,W F,800A-1115,,,{7W2} K.Scheiderer,19,35
