course,class_number,enrolled,limit,meetingNumber,facilityId,facilityType,facilityDescription,facilityDescriptionShort,facilityGroup,facilityCapacity,buildingCode,room,buildingDescription,buildingDescriptionShort,startTime,endTime,startDate,endDate,monday,tuesday,wednesday,thursday,friday,saturday,sunday,standingMeetingPattern,term,catalogId,classTitle,classNumber,section,sectionEnrollment,Latitude,Longitude
VISSCI 6110,6424,67,70,1,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,9:00 am,10:50 am,2025-01-06,2025-04-21,True,False,False,False,False,False,False,,Spring 2025,VISSCI 6110,General and Visual Neuroanatomy,6424,0010,67,39.99500717,-83.0151473
VISSCI 6110,6424,67,70,2,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,8:00 am,8:55 am,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,VISSCI 6110,General and Visual Neuroanatomy,6424,0010,67,39.99500717,-83.0151473
VISSCI 6140,6426,67,70,1,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,12:00 pm,12:55 pm,2025-01-06,2025-04-21,True,False,False,False,False,False,False,,Spring 2025,VISSCI 6140,Pathophysiology II,6426,0010,67,39.99500717,-83.0151473
VISSCI 6140,6426,67,70,2,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,11:30 am,12:25 pm,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,VISSCI 6140,Pathophysiology II,6426,0010,67,39.99500717,-83.0151473
VISSCI 6140,6426,67,70,3,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,10:00 am,11:50 am,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,VISSCI 6140,Pathophysiology II,6426,0010,67,39.99500717,-83.0151473
VISSCI 6140,6426,67,70,4,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,8:00 am,8:55 am,2025-01-06,2025-04-21,False,False,False,False,True,False,False,,Spring 2025,VISSCI 6140,Pathophysiology II,6426,0010,67,39.99500717,-83.0151473
VISSCI 6300,6466,69,70,1,HM0074,1B,Hamilton Hall,Hamilton,False,80,038,074,Hamilton Hall 074,HM 074,10:00 am,11:50 am,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,VISSCI 6300,Visual Neurophysiology and Perception,6466,0010,69,39.99500717,-83.0151473
VISSCI 6300,6466,69,70,2,HM0074,1B,Hamilton Hall,Hamilton,False,80,038,074,Hamilton Hall 074,HM 074,1:00 pm,2:50 pm,2025-01-06,2025-04-21,False,False,False,False,True,False,False,,Spring 2025,VISSCI 6300,Visual Neurophysiology and Perception,6466,0010,69,39.99500717,-83.0151473
VISSCI 6520,6421,67,70,2,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,9:00 am,10:25 am,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,VISSCI 6520,Optics of the Eye,6421,0010,67,39.99500717,-83.0151473
VISSCI 6520,6421,67,70,3,HM0080,1B,Hamilton Hall,Hamilton,False,80,038,080,Hamilton Hall 080,HM 080,4:00 pm,4:55 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,VISSCI 6520,Optics of the Eye,6421,0010,67,39.99500717,-83.0151473
